Pairs	1
Heedfulness	21
The Mind	33
Flowers	44
The Fool	60
The Wise	76
The Arahant or Perfected One	90
The Thousands	100
Evil	116
Violence	129
Old Age	146
The Self	157
The World	167
The Buddha	179
Happiness	197
Affection	209
Anger	221
Impurity	235
The Just	256
The Path	273
Miscellaneous	290
Hell	306
The Elephant	320
Craving	334
The Monk	360
The Holy Man	383
