Session #	Date	Filename	Duration	Teachers	Session title	Remote mp3 URL
14	22/01/2016	2016-01-22 Debbie Reading Khanti - Patient Endurance by Ajahn Jayasaro.mp3			Khanti – Patient Endurance	DVD/Audio/MP3/2016-01-22%20Debbie%20Reading%20Khanti%20-%20Patient%20Endurance%20by%20Ajahn%20Jayasaro.mp3
15	25/01/2016	2016-01-25 Beth Reading What is the Timeless The Middle Way of Knowing Mental Formations by Ajahn Viradhammo.mp3			What is the Timeless?; The Middle Way of Knowing Mental Formations	DVD/Audio/MP3/2016-01-25%20Beth%20Reading%20What%20is%20the%20Timeless%20The%20Middle%20Way%20of%20Knowing%20Mental%20Formations%20by%20Ajahn%20Viradhammo.mp3
16	26/01/2016	2016-01-26 AKd Reading Head and Heart Together by Ajahn Thanissaro.mp3			Head and Heart Together	DVD/Audio/MP3/2016-01-26%20AKd%20Reading%20Head%20and%20Heart%20Together%20by%20Ajahn%20Thanissaro.mp3
17	27/01/2016	2016-01-27 AJ Reading Invincibility The Road Towards the Exit from the Prison of Hatred by Ajahn Khemadhammo.mp3			Invincibility; The Road Towards the Exit from the Prison of Hatred	DVD/Audio/MP3/2016-01-27%20AJ%20Reading%20Invincibility%20The%20Road%20Towards%20the%20Exit%20from%20the%20Prison%20of%20Hatred%20by%20Ajahn%20Khemadhammo.mp3
18	28/01/2016	2016-01-28 AN Reading Hindrances and their Cessation Emptiness and Form by Ajahn Sumedho.mp3			Hindrances and their Cessation; Emptiness and Form	DVD/Audio/MP3/2016-01-28%20AN%20Reading%20Hindrances%20and%20their%20Cessation%20Emptiness%20and%20Form%20by%20Ajahn%20Sumedho.mp3
19	29/01/2016	2016-01-29 Jivako Reading Who Will Feed the Mice by Ajahn Amaro.mp3			Who Will Feed the Mice?	DVD/Audio/MP3/2016-01-29%20Jivako%20Reading%20Who%20Will%20Feed%20the%20Mice%20by%20Ajahn%20Amaro.mp3
20	30/01/2016	2016-01-30 Kassapo Reading Recollecting Our Goodness by Ajahn Amaro.mp3			Recollecting Our Goodness	DVD/Audio/MP3/2016-01-30%20Kassapo%20Reading%20Recollecting%20Our%20Goodness%20by%20Ajahn%20Amaro.mp3
21	02/02/2016	2016-02-02 Kaccana Reading We are all Translators by Ajahn Munindo.mp3			We are all Translators	DVD/Audio/MP3/2016-02-02%20Kaccana%20Reading%20We%20are%20all%20Translators%20by%20Ajahn%20Munindo.mp3
22	03/02/2016	2016-02-03 Pesalo Reading Rude Awakenings by Ajahn Sucitto.mp3			Rude Awakenings	DVD/Audio/MP3/2016-02-03%20Pesalo%20Reading%20Rude%20Awakenings%20by%20Ajahn%20Sucitto.mp3
23	04/02/2016	2016-02-04 Suhajjo Reading Self by Ajahn Pannavaddho.mp3			Self	DVD/Audio/MP3/2016-02-04%20Suhajjo%20Reading%20Self%20by%20Ajahn%20Pannavaddho.mp3
24	05/02/2016	2016-02-05 Khantiko Reading Attammayata by Ajahn Pasanno and Ajahn Amaro.mp3			Attammayata	DVD/Audio/MP3/2016-02-05%20Khantiko%20Reading%20Attammayata%20by%20Ajahn%20Pasanno%20and%20Ajahn%20Amaro.mp3
25	09/02/2016	2016-02-09 Gambhiro Reading Body by Ajahn Pannavaddho.mp3			Body	DVD/Audio/MP3/2016-02-09%20Gambhiro%20Reading%20Body%20by%20Ajahn%20Pannavaddho.mp3
26	10/02/2016	2016-02-10 Kondanno Reading Five Piles of Bricks the Khandas as Burden and Path by Ajahn Thanissaro.mp3			Five Piles of Bricks: the Khandas as Burden and Path	DVD/Audio/MP3/2016-02-10%20Kondanno%20Reading%20Five%20Piles%20of%20Bricks%20the%20Khandas%20as%20Burden%20and%20Path%20by%20Ajahn%20Thanissaro.mp3
27	11/02/2016	2016-02-11 Jagaro Reading Happiness Forever Patience All the Time in the World by Ajahn Sumedho.mp3			Happiness Forever; Patience; All the Time in the World	DVD/Audio/MP3/2016-02-11%20Jagaro%20Reading%20Happiness%20Forever%20Patience%20All%20the%20Time%20in%20the%20World%20by%20Ajahn%20Sumedho.mp3
28	12/02/2016	2016-02-12 Armand Reading In The Mood Imagine by Ajahn Thanissaro.mp3			In The Mood; Imagine	DVD/Audio/MP3/2016-02-12%20Armand%20Reading%20In%20The%20Mood%20Imagine%20by%20Ajahn%20Thanissaro.mp3
29	14/02/2016	2016-02-14 Debbie Reading Reflecting On Beauty And Disappointment by Ajahn Viradhammo.mp3			Reflecting On Beauty And Disappointment	DVD/Audio/MP3/2016-02-14%20Debbie%20Reading%20Reflecting%20On%20Beauty%20And%20Disappointment%20by%20Ajahn%20Viradhammo.mp3
30	17/02/2016	2016-02-17 Beth Reading The One Who Knows by Ajahn Kalyano.mp3			The One Who Knows	DVD/Audio/MP3/2016-02-17%20Beth%20Reading%20The%20One%20Who%20Knows%20by%20Ajahn%20Kalyano.mp3
31	18/02/2016	2016-02-18 AJ Reading Alone Together by Ajahn Munindo.mp3			Alone Together	DVD/Audio/MP3/2016-02-18%20AJ%20Reading%20Alone%20Together%20by%20Ajahn%20Munindo.mp3
32	19/02/2016	2016-02-19 AN Reading Identity by Ajahn Sumedho.mp3			Identity	DVD/Audio/MP3/2016-02-19%20AN%20Reading%20Identity%20by%20Ajahn%20Sumedho.mp3
33	21/02/2016	2016-02-21 Jivako Reading Memory by Ajahn Pannavaddho.mp3			Memory	DVD/Audio/MP3/2016-02-21%20Jivako%20Reading%20Memory%20by%20Ajahn%20Pannavaddho.mp3
34	24/02/2016	2016-02-24 Kassapo Reading Why am I Talking by Ajahn Amaro.mp3			Why am I Talking?	DVD/Audio/MP3/2016-02-24%20Kassapo%20Reading%20Why%20am%20I%20Talking%20by%20Ajahn%20Amaro.mp3
35	25/02/2016	2016-02-25 Kaccana Reading The Wisdom of the Ego by Ajahn Thanissaro.mp3			The Wisdom of the Ego	DVD/Audio/MP3/2016-02-25%20Kaccana%20Reading%20The%20Wisdom%20of%20the%20Ego%20by%20Ajahn%20Thanissaro.mp3
36	26/02/2016	2016-02-26 Pesalo Reading The Deathless Drum by Ajahn Sucitto.mp3			The Deathless Drum	DVD/Audio/MP3/2016-02-26%20Pesalo%20Reading%20The%20Deathless%20Drum%20by%20Ajahn%20Sucitto.mp3
37	28/02/2016	2016-02-28 Suhajjo Reading Feeling by Ajahn Pannavaddho.mp3			Feeling	DVD/Audio/MP3/2016-02-28%20Suhajjo%20Reading%20Feeling%20by%20Ajahn%20Pannavaddho.mp3
38	29/02/2016	2016-02-29 Gambhiro Reading Citta by Ajahn Pannavaddho.mp3			Citta	DVD/Audio/MP3/2016-02-29%20Gambhiro%20Reading%20Citta%20by%20Ajahn%20Pannavaddho.mp3
