fTagOrder	excerpt	duration	kind	text
80	TG2016_S03_F10	3:13	Question	How would you describe romantic love? And how do you know if it is ...
100	TG2014_S01_F08	2:59	Question	In the context of deep love—like between spouses or between parent ...
200	UD2019-4_S01_F03	8:38	Comment	Coming out of a long-term relationship where someone was killed in ...

3 featured excerpts; 2-3 optimal.

Subtopic tags:
Relationships
