fTagOrder	excerpt	duration	kind	text
90	Madison2023_S03_F07	3:00	Question	What exactly is reborn in Buddhist teachings?
120	Madison2023_S02_F11	4:54	Question	Can you be a Buddhist and yet an I-don't-know agnostic about reinca...
140	TG2014_S03_F13	5:03	Question	Dear Aj. Karuṇadhammo, could you say a bit more about how you find ...

3 featured excerpts; 3-4 optimal.

Subtopic tags:
Rebirth
