fTagOrder	excerpt	duration	kind	text
70	Teen2017_S00_F29	3:10	Question	What precepts don't most people know about that have a big effect o...
80	WR2018-2_S01_F01	4:51	Question	The Buddha described his teaching as Dhamma-vinaya. Can you explain...
100	Chah2001_S04_F03	2:16	Quote	He made sense out of monasticism.
100T	Teen2017_S00_F31	2:00	Recollection	On lunar observance days, monks confess offenses to each other befo...
105	Sunday2025-1_S00_F10	7:02	Reflection	Ajahn Chah used the Vinaya rules as a basis to train in mindfulness...
110T	WR2014_S53_F01	2:57	Question	When you were living with Ajahn Chah, were many of his talks more r...
120	WR2018-2_S04_F01	6:57	Question	What is the role of mentors and teachers in learning to use the mon...
150T	UD2018-2_S01_F04	2:06	Story	Learning the Pāṭimokkha.
200T	Path2019_S02_F07	8:15	Question	You spoke this morning about how monks don't have money and don't h...
200	Anniversary2021_S11_F13	6:41	Reflection	The pulse of the year at Abhayagiri and the annual Vassa Vinaya stu...

6 featured excerpts; 5-7 optimal.

Subtopic tags:
Vinaya
Pāṭimokkha
Confession
Protocols
Not handling money
Rains retreat
