fTagOrder	excerpt	duration	kind	text
50	TG2015_S06_F07	0:27	Question	The Middle Way – It is not 50% becoming and 50% annihilation, right...
80	TG2016_S06_F04	5:09	Question	Where is the middle way taught in the suttas? and how might that he...
100	TG2015_S05_F01	2:13	Question	Please explain more how did the Buddha cross the flood, by neither ...
120	WR2025_S27_F06	1:49	Indirect quote	Whenever you have feelings of love or hate for anything whatsoever,...

4 featured excerpts; 2-4 optimal.

Subtopic tags:
Middle Path
