fTagOrder	excerpt	duration	kind	text
80	Chithurst2025-2_S01_F15	3:02	Question	How does the practice of patience fit into the Noble Eightfold Path...
90	WR2016_S14_F03	2:13	Question	Could you give some guidance on when to patiently endure and when t...
100	Metta2008_S05_F03	5:00	Question	Reflecting on your 35 years in robes, do you have any strong lesson...
150	TG2016_S04_F05	3:46	Question	I was struck by the suggestion you shared about orienting oneself t...

4 featured excerpts; 3-4 optimal.

Subtopic tags:
Patience
