fTagOrder	excerpt	duration	kind	text
90	Madison2023_S01_F05	9:04	Question	How does one know the difference between appropriate grieving and h...
100	TG2014_S03_F08	9:03	Question	I know parting with loved ones is a natural course of life, but dee...
140	UD2021-1_S00_F03	9:41	Question	Did vibhavataṇhā arise in any of the monks at the loss of the Buddh...
180	TG2014_S07_F05	8:44	Question	The guidance through seeing the non-self in relationship to the ele...

4 featured excerpts; 2-4 optimal.

Subtopic tags:
Grief
