fTagOrder	excerpt	duration	kind	text
80	Chah2001_S04_F06	4:41	Teaching	How Ajahn Chah taught me.
100	Chah2001_S04_F08	10:24	Teaching	Ajahn Chah made me look at myself.
140	Anniversary2021_S01_F11	2:54	Reflection	Ajahn Sumedho was a catalyst for Abhayagiri to happen.
150	Anniversary2021_S01_F12	3:44	Comment	These days Ajahn Sumedho is on fire teaching Dhamma.

4 featured excerpts; 4-5 optimal.

Subtopic tags:
Ajahn Sumedho
