fTagOrder	excerpt	duration	kind	text
70	SRD2013_S01_F03	1:33	Question	Why is discernment a better word for wisdom?
90	Path2019_S01_F05	4:13	Question	Could you please address judgement and discernment?
100	TG2014_S05_F11	2:44	Question	How can one investigate without getting the mind too active? I find...
120	TG2016_S01_F03	1:09	Question	What is the difference between yoniso manasikara and insight?
140	TG2015_S04_F21	6:23	Question	Last night you spoke about balancing tranquility of mind with inves...

5 featured excerpts; 4-7 optimal.

Subtopic tags:
Discernment
Appropriate attention
Investigation of states
