fTagOrder	excerpt	duration	kind	text
80	Chah2001_S15_F06	0:40	Indirect quote	Everybody worships knowledge. Not many people worship virtue.|Ajahn...
120	TG2016_S05_F04	2:33	Question	I am away from a social network for almost six days which is quite ...
150	BIA2013_S01_F06	2:14	Question	In Bangkok, there is lots of news that makes people crazy and divis...
200	MValley2021_S00_F04	3:02	Question	Our community is mostly virtual. Since we're not together taking ca...

4 featured excerpts; 3-5 optimal.

Subtopic tags:
Technology
Industry
Science
Media
News
Advertizing
Internet
Social media
Online community
