12,½
abbhūta
abhinivesāya
abyāpāda
ācariya
adhikaraṇasamatha
adhiṭṭhānas
ādittapariyāya
āditthanas
āgama
agañña
agatī,agati*
ahiṃsako
ajātasattu
akiñcano
āḷāra
āḷavikā
an,añ*
anāgamī
anagārika
anāgārikas
anālayo
ananda,ānanda*
ānandajoti
ānānpānasati
ānāpāna
ānāpānasaṁyutta
ānāpānasati
anāthapiṇḍika
anatta
anattalakkhaṇa
aṅgulimāla
aṅguttara
anicca,aniccā*
añjali
aṅkārama
aññathā
anurādha
apaṇṇaka
appamāda
appanā
appaṇihita
appaṇṇaka
arahaṃ
ārammaṇupanijjhāna
araññabho
ariyapariyesanā
āsava
āsavas
assādasutta
atammayatā
āṭānāṭiya
ātāpi
atta,attā
attamayatā
attavādupādāna
atthā
aṭṭhakavagga
avijjā
bagøien
bāhiya
bhāradvāja
bhavadiṭṭhi
bhāvanā
bhavaṅga
bhavataṇhā
bhikkhunī
bhikkhunīsaṁyutta
bhikkhunūpassaya
bhūmī
bhūridatta
bhūridatto
bimbisāra
bodhipakkhiyā
bojjhaṅgasaṁyutta
brahamavihāras
brahma,brahmā
brahmacariyā
brahmajāla
brahmavaṃso
brahmavihāras
buddhadāsa
buddhaṃ
buddhānussati
buddhavaṃsa
candasirī
caṅkama
caṅkī
cāpā
cāpātherīgāthā
cetanā
cittapālā
cittasaṅkhāra
cūḷa
cūḷadukkhakkhandha
cūḷagosiṅga
cūḷamāluṅkya
cūḷasaccaka
cūḷasāropama
cūḷasīhanāda
cūḷataṇhāsaṅkhaya
cūḷavedalla
dana,dāna
dıghanakha
dhamma,dhammā
dhammadinnā
dhammānupassī
dhanākaro
dhātu
dhutaṅga
dhutaṅgas
dīghanakha
din,dīn
diṭṭhi
dōgen
dukkha,dukkhā*
dukkhaṃ
dvedhāvitakka
ekaggatā
ekodibhāvaṃ
etaṁ
gacchāmi
gāmaṇisaṁyutta
gaṇakamoggallāna
gāthā
gelañña
ghaṭīkāra
girimānanda
gopakamogallāna
gotamī
guṇūpamājahn
hāliddakāni
hasituppāda
hsuan,hsüan*
iddhipādas
indapañño
jalāl
jāṇussoṇi
jātaka
jhāna
jhānas
jhānic
jhāyatha
jitindriyā
jīvaka
jīvitaṃ
jotipālo
kaccāna
kaccānagotta
kāḷa
kalahavivāda
kālāma
kalyāṇa
kalyāno
kāma
kāmacchanda
kammaṭṭhāna
kantasīlo
kārikā
karuṇā
karuṇadhammo
karuṇiko
kasiṇa
kataññu
kaṭhina
kāyagatāsati
kayañāṇas
kāyasaṅkhārā
kāyaviveka
kevaṭṭasutta
khandhasaṁyutta
khantipālo
khippapañño
kiriyā
kīṭāgiri
kondañña
kondañño
kosalasaṁyutta
koṭṭhita
kuṇḍalakesī
kutūhalasālā
lakkhaṇupanijjhāna
m,ṃ
ma,mā*
madhupiṇḍika
māgaṇḍiya
maggasaṁyutta
māgha
mahā
mahādukkhakkhandha
mahāghosānanda
mahāgosiṅga
mahāhatthipadopama
mahākaccāna
mahākassapa
mahāmālunkya
mahānāma
mahānidāna
mahānikāya
mahāpajāpatī
mahāparinibbāna
mahāpuṇṇama
mahārāhulaovāda
mahāsaccaka
mahāsatipaṭṭhāna
mahāvagga
mahāvedalla
mahāyāna
māluṅkyaputta
māna
manasikāra
maṅgala
maṅgalaṃ
maṅkāra
maññati
māra
maraṇānussati
maraṇassati
mayā
metta,mettā
micchā
migajāla
milindapañha
moggallāna
muditā
mūlamadhyamaka
mūlapariyāya
n,ṇ*
nāgārjuna
nakulapitā
nālaṃ
nālandā
nāma
ñāṇadhammo
ñāṇamoli
ñāṇananda
ñāṇasampanno
ñāṇasirī
ñāṇatiloka
ñāṇatusita
ñāṇiko
nātha
nātho
nestlé
nibbāna
nibbānaṃ
nikāya
nipāta
nippapañca
nirāmisa
niratthā
oghataraṇa
ovāda
pācittiyā
pāli
pāmojja
pañca
paṇītaṁ
paññā
paññānanda
paññapatipo
paññāpessatīti
paññāvaḍḍho
paññāyati
papañca
papañcadhammas
pārājikā
paramaṁ
pāramī,pārami
pāramīs
patācārā
pāṭaliya
paticcasamuppāda
pāṭimokkha
paṭinissagga
paṭipadā
pāvaro
phassapaññattiṃ
piṇḍola
pīti
piyajātika
prāṇāyāma
prāṇāyāmas
pūjā
pūjās
puñña,puṇṇa*
puthujjana
rāhula
rājagaha
rājagha
rāmaputta
rōshi
rūmī
rūpa
rūpūpādānakkhandho
sabbaṃ
sabbāsava
sāgata
sakkapañha
sakkāya
sakkāyadiṭṭhi
sālā,sala
saḷāyatanasaṁyutta
samādhi
samādhibhāvanā
samajīvī
samaṇa,sāmaṇa*
samaṇas
sāmaṇera
sāmaṇeras
sāmaññaphala
sāmi
sāmisa
sammā
sammādiṭṭhi
sampajañña
saṃsāra
saṃvega
saṃyutta
saṅga
saṅgārava
saṅgha
saṅghādisesā
saṅghakamma
saṅghapāla
saṅgharāja
saṅghas
sangīti
saṅkāra
saṅkhārā,saṅkhāra*
saṅkhāras
saṅkhāric
saññā
santaṁ
santuṭṭhi
sarakāni
saraṇaṃ
sārāṇīyā
sāriputta
sāsana
satipañña
satipaṭṭhāna,satipatthana*
satipaṭṭhānasaṁyutta
satipaṭṭhānasutta
selā
śhūrangama
sigāla
sīgālovāda
sīla
sīladhara,sīladharā
sīlānussati
sīlaratano
siṅgālasutta
siripañño
sīvaka
soṇa,sona
sopāka
sotāpanna
sotāpattimagga
subhā
sūciloma
sudhīro
sukhaṁ
sumedhā,sumedha
sunāparanta
sundarā
suññatā
sutra,sūtra
suttanipāta
tam,taṁ*
taṇhā
tathāgata
tathāgatās
tathatā
ṭhānissarā
ṭhānissaro
theravāda
theravādin
theravādins
ṭhitabho
ṭhitadhammo
ṭhitapañño
tipiṭaka
udāyī
ukkacelā
uṇṇabha
upacāra
upādāna
upāli
upāsikā,upāsika
upasīva
upavāṇa
upekkhā
uppādā
vahāpūrā
vajirā,vajira
vajrayāna
vaṅgīsasaṁyutta
varapañño
vāri
vaṭṭaka
vāyāma
vedanā
verañjā
vibhavadiṭṭhi
vibhavataṇhā
vicāra
viḍūḍabha
vihāras
vijjācaraṇa
vīmaṃsā
vīmaṃsaka
viññāṇa
viññaṇadhatu
vipassanā,vipassana*
vipassanāñāṇa
vipassanūpakkilesa
vipassī
vīradhammo*
vīriyavāda
visākhā,visākha
visaṁyuttā
vitakkasaṇṭhāna
yathā
yāva
yavakalāpī
