fTagOrder	excerpt	duration	kind	text
100	TG2015_S01_F04	3:06	Question	What should we do during eating? How to eat with meditation?
120	TG2014_S04_F04	4:55	Question	I find the mind especially distractable during meal times. Partly t...
180	WR2014_S37_F01	4:59	Question	Could you describe ways to work with delighting and wanting around ...

3 featured excerpts; 2-4 optimal.
