fTagOrder	excerpt	duration	kind	text
80	WR2014_S45_F02	4:34	Question	How common is burial as opposed to cremation in Thailand?
110	ChahQA2025_S02_F12	2:06	Story	Ajahn Pasanno sits vigil at a cremation and makes a bathing cloth f...
140	TG2013_S05_F02	7:51	Question	What is the funeral protocol for monks? What about non-monastics in...

3 featured excerpts; 1-3 optimal.
