Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Thanksgiving Retreat 2012,,,,,,,,,,,,,,,,,,
Subtitle,A Continuity of Practice,,,,,,,,,,,,,,,,,,
Code,TG2012,,,,,,,,,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,,,,,,,,,
Teachers,AP;AY;AKd;DS,,,,,,,,,,,,,,,,,,
Start date,16/11/2012,,,,,,,,,,,,,,,,,,
End date,25/11/2012,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/talks/collections/2/6-a-continuity-of-practice-thanksgiving-retreat-2012,,,,,,,,,,,,,,,,,,
Description,A classic ten-day Thanksgiving Retreat held at the Angela Center.,,,,,,,,,,,,,,,,,,
Sessions,8,,,,,,,,,,,,,,,,,,
Excerpts,139,,,,,,,,,,,,,,,,,,
Tags applied,853,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,3:27:37,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,17/11/2012,AP_11_17_2012_Monastic_Retreat_Questions_and_Answers_1.mp3,01:04:03,AP,,https://www.abhayagiri.org/media/discs/APasannoRetreats/2012%20Thanksgiving%20Retreat/AP_11_17_2012_Monastic_Retreat_Questions_and_Answers_1.mp3,12,,,,,,,,,,,,
2,18/11/2012,AP_11_23_2012_Monastic_Retreat_Questions_and_Answers_2.mp3,01:04:30,AP,,https://www.abhayagiri.org/media/discs/APasannoRetreats/2012%20Thanksgiving%20Retreat/AP_11_23_2012_Monastic_Retreat_Questions_and_Answers_2.mp3,15,,,,,,,,,,,,
