Modified:,2025,,,,,,,,,,,
Key,Value,,,,,,,,,,,
Title,Abhayagiri 2015 Winter Retreat,,,,,,,,,,,
Subtitle,The Four Foundations of Mindfulness,,,,,,,,,,,
Code,WR2015,,,,,,,,,,,
Series,Abhayagiri Winter Retreats,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,
Teachers,AP;AKd;ANy,,,,,,,,,,,
Start date,6/1/2015,,,,,,,,,,,
End date,29/3/2015,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,
Tags,Right Mindfulness;Mindfulness of body;Mindfulness of feeling;Mindfulness of mind,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/2015WinterRetreat/Index.html,,,,,,,,,,,
Description,"Ajahn Pasanno, Ajahn Karuṇadhammo, and Ajahn Ñāṇiko take turns reading suttas and teachings regarding the Four Foundations of Mindfulness. The structure often follows  _Right Mindfulness_ by Ajahn Ṭhānissaro. There are noteworth [slideshows](#WR2015_S07) illustrating the 32 parts of the body.",,,,,,,,,,,
Sessions,53,,,,,,,,,,,
Excerpts,193,,,,,,,,,,,
Tags applied,842,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,
Duration,29:09:47,,,,,,,,,,,
<---->,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds
1,06/01/2015,01_AP_01_06_2015_Broadly_Established_Mindfulness.mp3,24:33,AP,Broadly Established Mindfulness,https://www.abhayagiri.org/media/discs/2015WinterRetreat/Audio/01_AP_01_06_2015_Broadly_Established_Mindfulness.mp3,1,,,,,1473
2,07/01/2015,02_AP_01_07_2015_Right_Effort_and_Mindfulness.mp3,39:45,AP,Right Effort and Mindfulness,https://www.abhayagiri.org/media/discs/2015WinterRetreat/Audio/02_AP_01_07_2015_Right_Effort_and_Mindfulness.mp3,1,,,,,2385
3,08/01/2015,03_AP_01_08_2015_Mindfulness_and_Clear_Comprehension.mp3,33:18,AP,Mindfulness and Clear Comprehension,https://www.abhayagiri.org/media/discs/2015WinterRetreat/Audio/03_AP_01_08_2015_Mindfulness_and_Clear_Comprehension.mp3,1,,,,,1998
