Modified:,2025,,,,,,,,,,,
Key,Value,,,,,,,,,,,
Title,Our Roots in the Thai Forest Tradition,,,,,,,,,,,
Subtitle,Abhayagiri 2014 Winter Retreat,,,,,,,,,,,
Code,WR2014,,,,,,,,,,,
Series,Abhayagiri Winter Retreats,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,
Teachers,AP;AbhSangha,,,,,,,,,,,
Start date,06/01/2014,,,,,,,,,,,
End date,28/03/2014,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,
Tags,Thai Forest Tradition,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/APasannoRetreats/2014%20Thai%20Forest%20Tradition/Index.html,,,,,,,,,,,
Description,The Abhayagiri Community take turns reading from translations of the Thai Forest masters. Ajahn Pasanno answers many questions following the readings.,,,,,,,,,,,
Sessions,56,,,,,,,,,,,
Excerpts,620,,,,,,,,,,,
Tags applied,1706,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,
Duration,36:51:18,,,,,,,,,,,
<---->,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds
1,06/01/2014,AP_01_06_2014_Winter_Retreat_Opening_Talk-No_Bargaining_with_the_King_of_Death.mp3,11:43,AP,No Bargaining with the King of Death,https://www.abhayagiri.org/media/discs/APasannoRetreats/2014%20Thai%20Forest%20Tradition/Audio/AP_01_06_2014_Winter_Retreat_Opening_Talk-No_Bargaining_with_the_King_of_Death.mp3,5,,,,,703
2,07/01/2014,AKd_01_07_2014_Winter_Retreat_Readings-The_Training_of_the_Heart.mp3,37:09,AP,The Training of the Heart,https://www.abhayagiri.org/media/discs/APasannoRetreats/2014%20Thai%20Forest%20Tradition/Audio/AKd_01_07_2014_Winter_Retreat_Readings-The_Training_of_the_Heart.mp3,6,,,,,2229
3,10/01/2014,AN_01_10_2014_Winter_Retreat_Readings-Watch_Your_Mind_and_Escape_Maras_Snare_Pt1.mp3,30:11,AP,Watch Your Mind and Escape Mara's Snare Part 1,https://www.abhayagiri.org/media/discs/APasannoRetreats/2014%20Thai%20Forest%20Tradition/Audio/AN_01_10_2014_Winter_Retreat_Readings-Watch_Your_Mind_and_Escape_Maras_Snare_Pt1.mp3,3,,,,,1811
