AAnan,Ajahn Anan Akiñcano,Ajahn Anan,Pending,Pending,Yes,Yes,Yes,Yes,Monastics,Thai disciples of Ajahn Chah
ASumedho,Ajahn Sumedho,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AKhemadhammo,Ajahn Khemadhammo,,Pending,Pending,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AP,Ajahn Pasanno,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AVira,Ajahn Viradhammo,,Pending,Pending,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AJundee,Ajahn Jundee Kantasāro,Ajahn Jundee,Pending,Pending,Yes,No,Yes,Yes,Monastics,Thai disciples of Ajahn Chah
AMunindo,Ajahn Munindo,,Pending,Pending,Yes,No,Yes,Yes,Monastics,Western disciples of Ajahn Chah
ASucitto,Ajahn Sucitto,,Pending,Pending,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AThan,Ajahn Ṭhānissaro,,Pending,Pending,Yes,Yes,Yes,Yes,Monastics,Other Thai Forest teachers
AA,Ajahn Amaro,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
ANyanadhammo,Ajahn Ñāṇadhammo,,Pending,Pending,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AJaya,Ajahn Jayasaro,,Pending,Pending,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
ASd,Ajahn Sudanto,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AY,Ajahn Yatiko,,Yes,Yes,Yes,Yes,Yes,Pending,Monastics,Western disciples of Ajahn Chah
AKd,Ajahn Karuṇadhammo,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AJoti,Ajahn Jotipālo,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
ANy,Ajahn Ñāṇiko,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
AAh,Ajahn Ahiṃsako,,Yes,No,Yes,No,Yes,No,Monastics,Western disciples of Ajahn Chah
AJivako,Ajahn Jīvako,,Yes,Yes,Yes,No,Yes,No,Monastics,Western disciples of Ajahn Chah
AKsp,Ajahn Kassapo,,Yes,No,No,No,Yes,No,Monastics,Western disciples of Ajahn Chah
ACu,Ajahn Cunda,,Yes,No,Yes,No,Yes,No,Monastics,Western disciples of Ajahn Chah
AKc,Ajahn Kaccāna,,Yes,No,Yes,No,Yes,No,Monastics,Western disciples of Ajahn Chah
AThp,Ajahn Ṭhitapañño,,Yes,No,Yes,No,Yes,No,Monastics,Western disciples of Ajahn Chah
AKov,Ajahn Kovilo,,Yes,Pending,Pending,No,Yes,Pending,Monastics,Western disciples of Ajahn Chah
APes,Ajahn Pesalo,,Yes,No,Yes,No,Yes,No,Monastics,Western disciples of Ajahn Chah
TKon,Tan Kondañño,,Pending,Pending,Pending,No,Yes,Pending,Monastics,Western disciples of Ajahn Chah
TJag,Tan Jāgaro,,Pending,Pending,Pending,No,Yes,Pending,Monastics,Western disciples of Ajahn Chah
AShj,Ajahn Suhajjo,,Yes,No,No,No,No,No,Monastics,Western disciples of Ajahn Chah
AKha,Ajahn Khantiko,,Yes,No,No,No,No,No,Monastics,Western disciples of Ajahn Chah
TGam,Tan Gambhīro,,Pending,No,Pending,No,Yes,No,Monastics,Western disciples of Ajahn Chah
ASdr,Ajahn Sudhīro,,Yes,Yes,Yes,No,Yes,No,Monastics,Western disciples of Ajahn Chah
TSud,Tan Suddhiko,,Pending,Pending,Pending,No,Yes,Pending,Monastics,Western disciples of Ajahn Chah
,,,,,,,,,,
AJitindriya,Ajahn Jitindriyā,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
ASundara,Ajahn Sundarā,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Western disciples of Ajahn Chah
ACandasiri,Ajahn Candasiri,,Pending,No,Pending,No,Yes,Pending,Monastics,Western disciples of Ajahn Chah
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AMahaprasert,Ajahn Mahā Prasert,,Pending,Pending,Yes,Pending,Yes,Pending,Monastics,Other Thai teachers
,,,,,,,,,,
HSure,Reverend Heng Sure,,Pending,Pending,Pending,No,Pending,Pending,Monastics,Māhayāna teachers
HShun,Bhikshu Heng Shun,,Pending,Pending,Pending,No,Pending,Pending,Monastics,Māhayāna teachers
HLyu,Bhikshu Heng Lyu,,Pending,Pending,Pending,No,Pending,Pending,Monastics,Māhayāna teachers
FDamien,Father Damien,,Yes,Yes,Yes,Yes,Yes,Yes,Monastics,Christian monastics
,,,,,,,,,,
,,,,,,,,,,
Pabongka,Pabongka Rinpoche,,No,No,Yes,Yes,Yes,Yes,Monastics,Vajrayāna teachers
,,,,,,,,,,
DS,Debbie Stamp,,Yes,Yes,Yes,Yes,Yes,Pending,Lay teachers,
BSteff,Beth Steff,,Yes,Yes,Yes,No,Yes,No,Lay teachers,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
JKornfield,Jack Kornfield,,Yes,Yes,Yes,Yes,Yes,Yes,Lay teachers,
GFronsdale,Gil Fronsdale,,Pending,Pending,Yes,No,Yes,No,Lay teachers,
NScott,Nick Scott,,Pending,No,Yes,No,Yes,Pending,Lay teachers,
Jeed,Jeed Chaiboonruang,,Pending,No,Yes,No,Yes,No,Lay supporters,
Janejira,Janejira Sutanonpaiboon,,Pending,No,Yes,No,Yes,No,Lay supporters,
RCenter,Rik Center,,Yes; pending,No,Yes,No,Pending,No,Lay teachers,
JDaskais,Jeanne Daskais,,Yes,Yes,Yes,No,Yes,No,Lay supporters,
MMotaghy,Manijeh Motaghy,,Yes; pending,No,Yes,No,Pending,No,Lay teachers,
GSharp,George Sharp,,Yes,Yes,Yes,No,Yes,Yes,Lay supporters,
GKappel,Gail Kappel,,Yes,Yes,Yes,No,Yes,No,Lay supporters,
JKappel,Joseph Kappel,,Yes,Yes,Yes,Yes,Yes,Yes,Lay teachers,
Kittisaro,Kittisaro,,Yes,Yes,Yes,Yes,Yes,Yes,Lay teachers,
Thanissara,Ṭhānissarā,,Yes,Yes,Yes,Yes,Yes,Yes,Lay teachers,
PBreiter,Paul Breiter,,Yes,Yes,Yes,Yes,Yes,Yes,Lay teachers,
NMeister,Nan Meister,,Yes,No,Yes,No,Yes,No,Lay supporters,
,,,,,,,,,,
Sanghapala,Saṅghapāla board members,,Yes,Yes,Yes,No,Yes,Yes,Lay supporters,
MLieberman,Marc Lieberman,,Yes,Yes,Yes,No,Yes,No,Lay supporters,
SBarber,Susan Barber,,Pending,Pending,Yes,No,Pending,Pending,Lay supporters,
FKral,Fred Kral,,Yes,Yes,Yes,No,Yes,No,Lay supporters,
NBrewer,Noel Brewer,,Yes,Yes,Yes,No,Yes,No,Lay supporters,
PMayland,Peter Mayland,,Yes,Yes,Yes,No,Yes,No,Lay supporters,
MSponseller,Mark Sponseller,,Yes,Yes,Yes,No,Yes,No,Lay supporters,
,,,,,,,,,,
,,,,,,,,,,
SHanna,Sol Hanna,,Yes,No,Yes,No,Yes,No,Lay teachers,
,,,,,,,,,,
Anon,anonymous,,Yes,Yes,Yes,No,No,No,,
