Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Being Dhamma (with Tigers),,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,CMountain2023,,,,,,,,,,,,,,,,,,
Series,Other,,,,,,,,,,,,,,,,,,
Venue,Clear Mountain Monastery Project,,,,,,,,,,,,,,,,,,
Teachers,AP,,,,,,,,,,,,,,,,,,
Start date,15/06/2023,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Interview,,,,,,,,,,,,,,,,,,
Medium,Online,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,https://www.youtube.com/watch?v=vshYjywMNyY,,,,,,,,,,,,,,,,,,
Description,"Ajahn Pasanno answers questions from Ajahn Kovilo, Ajahn Nisabho, and an online audience about his early life in robes and the progressive understanding of Dhamma.",,,,,,,,,,,,,,,,,,
Sessions,1,,,,,,,,,,,,,,,,,,
Excerpts,17,,,,,,,,,,,,,,,,,,
Tags applied,117,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,46:04,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
0,15/06/2023,Being Dhamma with Tigers Ajahn Pasanno QA.mp3,46:04,AP,,,17,,,,,2764,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
0,Quote,n,,,"It's intrinsic to us all, but we get in the way.",,,,,,,,,,,,,,
0,Sutta,,,,"AN 1.49: ""This mind, bhikkhus, is radiant, but it is defiled by adventitious defilements.""",,Nature of mind,,,,,,,,,,,,
0,Follow-up,,,,Does the academic speculation about AN 1.49 fall away when you're actually practicing?,,Views,Direct experience,,,,,,,,,,,
0,Indirect quote,,,,First you have to know the Dhamma. Then you have to see the Dhamma. Then you have to be the Dhamma.|Ajahn Chah,,Ajahn Chah,Dhamma,Knowledge and vision,Insight meditation,Relinquishment,Self-identity view,,,,,,,
0,Follow-up,,,,"In Ajahn Chah's progression of knowing Dhamma and seeing Dhamma and then being Dhamma, what is Dhamma in that context?",,Dhamma,Knowledge and vision,Direct experience,,,,,,,,,,
0,,o,34:12.5,34:59,How long should we stick to a meditation technique? How do we know when we should change things up?,,Meditation/Techniques,,,,Direct experience,,,,,,,,
0,,,35:07,37:40,Is it possible to get enlightened living in a Muslim country where there are no monasteries?,,Liberation,,,,Dhamma online,Association with people of integrity,,,,,,,
0,Indirect quote,,,,You mean there are no good people in America?|Ajahn Chah to Ajahn Sumedho,,Ajahn Chah,Ajahn Sumedho,Culture/West,Virtue,,,,,,,,,
0,,,37:52.5,40:41.5,Is there a difference between metta and non-hatred?,,Goodwill,,,,Ajahn Sumedho,Right Intention,,,,,,,
0,,,42:05,44:30,Are there any misunderstandings of Buddhism that have developed as it comes to the West that you would correct?,,Culture/West,,,,Monastic life,Selfishness,Community,Environment,Abhayagiri,,,,
0,Extra tags,,,,,,,,,,Dogmatism,,,,,,,,
0,,,44:30,45:07,What would you say to two young monks on a mission to maybe start a community in Seattle?,,Clear Mountain,,,,Patience,Truth,,,,,,,
