Modified:,2025,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Western Disciples of the Thai Forest Tradition,,,,,,,,,,,,,,,,,,
Subtitle,Abhayagiri Winter Retreat 2016,,,,,,,,,,,,,,,,,,
Code,WR2016,,,,,,,,,,,,,,,,,,
Series,Abhayagiri Winter Retreats,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AbhSangha,,,,,,,,,,,,,,,,,,
Start date,05/01/2016,,,,,,,,,,,,,,,,,,
End date,29/03/2016,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,Thai Forest Tradition;Western Ajahn Chah lineage,,,,,,,,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/winter-retreat-2016/index.html,,,,,,,,,,,,,,,,,,
Description,"During the Winter Retreat 2016 teaching sessions, Abhayagiri monastics took turns reading from senior Western disciples of the Thai Forest Tradition. Ajahn Pasanno and other teachers responded to questions after the readings.",,,,,,,,,,,,,,,,,,
Sessions,57,,,,,,,,,,,,,,,,,,
Excerpts,5,,,,,,,,,,,,,,,,,,
Tags applied,686,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,58:38,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
11,19/01/2016,2016-01-19 Kondanno Reading Levels of the Breath The Four Jhanas by Ajahn Thanissaro.mp3,27:32,,Levels of the Breath; The Four Jhanas,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-19%20Kondanno%20Reading%20Levels%20of%20the%20Breath%20The%20Four%20Jhanas%20by%20Ajahn%20Thanissaro.mp3,3,,,,,1652,,,,,,,
12,20/01/2016,2016-01-20 Jagaro Reading Cultivating Gratitude by Ajahn Pasanno.mp3,34:29,,Cultivating Gratitude,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-20%20Jagaro%20Reading%20Cultivating%20Gratitude%20by%20Ajahn%20Pasanno.mp3,6,,,,,2069,,,,,,,
13,21/01/2016,2016-01-21 Armand Reading Being Awareness Itself by Ajahn Sumedho.mp3,39:45,AP,Being Awareness Itself,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-21%20Armand%20Reading%20Being%20Awareness%20Itself%20by%20Ajahn%20Sumedho.mp3,5,,,,,2385,,,,,,,
14,22/01/2016,2016-01-22 Debbie Reading Khanti - Patient Endurance by Ajahn Jayasaro.mp3,32:16,AP,Khanti – Patient Endurance,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-22%20Debbie%20Reading%20Khanti%20-%20Patient%20Endurance%20by%20Ajahn%20Jayasaro.mp3,4,,,,,1936,,,,,,,
15,25/01/2016,2016-01-25 Beth Reading What is the Timeless The Middle Way of Knowing Mental Formations by Ajahn Viradhammo.mp3,25:18,,What is the Timeless?; The Middle Way of Knowing Mental Formations,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-25%20Beth%20Reading%20What%20is%20the%20Timeless%20The%20Middle%20Way%20of%20Knowing%20Mental%20Formations%20by%20Ajahn%20Viradhammo.mp3,3,,,,,1518,,,,,,,
16,26/01/2016,2016-01-26 AKd Reading Head and Heart Together by Ajahn Thanissaro.mp3,29:44,,Head and Heart Together,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-26%20AKd%20Reading%20Head%20and%20Heart%20Together%20by%20Ajahn%20Thanissaro.mp3,4,,,,,1784,,,,,,,
17,27/01/2016,2016-01-27 AJ Reading Invincibility The Road Towards the Exit from the Prison of Hatred by Ajahn Khemadhammo.mp3,30:43,AP,Invincibility; The Road Towards the Exit from the Prison of Hatred,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-27%20AJ%20Reading%20Invincibility%20The%20Road%20Towards%20the%20Exit%20from%20the%20Prison%20of%20Hatred%20by%20Ajahn%20Khemadhammo.mp3,7,,,,,1843,,,,,,,
18,28/01/2016,2016-01-28 AN Reading Hindrances and their Cessation Emptiness and Form by Ajahn Sumedho.mp3,23:51,AP,Hindrances and their Cessation; Emptiness and Form,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-28%20AN%20Reading%20Hindrances%20and%20their%20Cessation%20Emptiness%20and%20Form%20by%20Ajahn%20Sumedho.mp3,4,,,,,1431,,,,,,,
19,29/01/2016,2016-01-29 Jivako Reading Who Will Feed the Mice by Ajahn Amaro.mp3,19:32,,Who Will Feed the Mice?,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-29%20Jivako%20Reading%20Who%20Will%20Feed%20the%20Mice%20by%20Ajahn%20Amaro.mp3,2,Parents,,,,1172,,,,,,,
20,30/01/2016,2016-01-30 Kassapo Reading Recollecting Our Goodness by Ajahn Amaro.mp3,33:19,AP,Recollecting Our Goodness,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-01-30%20Kassapo%20Reading%20Recollecting%20Our%20Goodness%20by%20Ajahn%20Amaro.mp3,3,,,,,1999,,,,,,,
21,02/02/2016,2016-02-02 Kaccana Reading We are all Translators by Ajahn Munindo.mp3,25:29,,We are all Translators,https://www.abhayagiri.org/media/discs/winter-retreat-2016/DVD/Audio/MP3/2016-02-02%20Kaccana%20Reading%20We%20are%20all%20Translators%20by%20Ajahn%20Munindo.mp3,2,,,,,1529,,,,,,,
