Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Thanksgiving Retreat 2011,,,,,,,,,,,,,,,,,,
Subtitle,,,,,,,,,,,,,,,,,,,
Code,TG2011,,,,,,,,,,,,,,,,,,
Series,Thanksgiving Retreats,,,,,,,,,,,,,,,,,,
Venue,Angela Center,,,,,,,,,,,,,,,,,,
Teachers,AP;AY;AKd;DS,,,,,,,,,,,,,,,,,,
Start date,18/11/2011,,,,,,,,,,,,,,,,,,
End date,27/11/2011,,,,,,,,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,
Website,,,,,,,,,,,,,,,,,,,
Description,A classic ten-day Thanksgiving Retreat held at the Angela Center.,,,,,,,,,,,,,,,,,,
Sessions,8,,,,,,,,,,,,,,,,,,
Excerpts,192,,,,,,,,,,,,,,,,,,
Tags applied,1235,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,6:39:00,,,,,,,,,,,,,,,,,,
2,,,14:55,17:09,"Could you please say a little more about the fifth hindrance, doubt? Is it self-doubt or doubt of the Dhamma?",,Doubt,,,,Culture/West,Mindfulness of body,Pāli,,,,,,
2,,,17:10.5,21:02,"I keep getting overwhelmed by a variety of intense and unpleasant bodily sensations. I have been trying to keep my focus on more neutral places in the body, but I still find that keeping the concentration anywhere in the body amplifies the unpleasant feelings, and I can't settle into a place of ease.",,Pain,Mindfulness of body,Neutral feeling,,Aversion,Restlessness and worry,Fear,Self-identity view,Body/form,,,,
2,Extra tags,,,,,,,,,,Mindfulness of breathing,Posture/Walking,Chanting,Goodwill,,,,,
2,Quote,,,,"The energy we invest in it is where the suffering actually lies. In the end, a body is just a body.",,Suffering,Body/form,,,,,,,,,,,
2,,,21:02.5,23:57,May I ask the whole Abhayagiri gang what is your favorite meditation object?,AP;AKd;ASdr;DS;BSuddhaso,Meditation/Techniques,,,,Mindfulness of breathing,Unattractiveness,Recollection/Death,Goodwill,Buddho mantra,,,Meditation/Techniques,99H
2,Extra tags,,,,,,,,,,Mindfulness of feeling,Sound of silence,Impermanence,,,,,,
2,,,23:59,24:31,Is it true that having images of a certain animal around will make you likely to be that animal in your next life?,,Animal,Rebirth,,,,,,,,,,,
2,,,24:34.5,26:39,"Do you ever work with the 'thin line' between sleep and waking, dreaming and lucidity? It seems like a powerful or useful fulcrum.",,Ajahn Pasanno,Devotion to wakefulness,Dreams,,Continuity of mindfulness,Posture/Lying down,Determination,,,,,Devotion to wakefulness,140
2,,,27:10,30:05,"Can any teacher suggest that we should _not_ pursue states of jhāna? 'If they happen, great; if not don't worry.' In a room full of about 60 devoted meditators, it seems unlikely that any of us are achieving this type of absorption. If we were, then the chiming of the bowl would be disrupting many people's jhānic states of meditation. Is jhāna really quite rare?",,Jhāna,,,,Ajahn Chah,Tranquility,Energy,Happiness,,,,,
2,,,30:09,31:51,Can you please speak about how one practices on the third path or what happens leading up to the third path attainment?,,Non-return,,,,Sensual desire,Ill-will,Relinquishment,Concentration,,,,,
2,,,31:52,34:23,Can you share some ways to deal with pride when the ego influences feelings negatively?,,Conceit,,,,Self-identity view,Suffering,Proliferation,,,,,,
2,Sutta,,,,AN 6.104: I-making and mine-making.,,,,,,,,,,,,,,
2,,,34:24.5,36:58.5,"Could you please talk about the process of cutting the chain of Dependent Origination? With a more mature practice, can one cut the chain earlier among the different links? How does this take place experientially?",,Dependent origination,,,,Relinquishment,Feeling,Craving,Conditionality,,,,,
2,Simile from,,,,A pin pricking a balloon.|Ajahn Chah,,Ajahn Chah,Dependent origination,,,,,,,,,,,
2,,,37:00,39:41.5,Has anyone ever attained enlightenment while walking meditation? What are the pros and cons of walking meditation?,,Liberation,Posture/Walking,,,Thai Forest Tradition,Abhayagiri,Lodging,Ajahn Chah,Discernment,,,,
2,,,39:42,42:56,How does one develop compassion such that one harbors no ill-will even when bandits dismember you with a double-handed saw (MN 21.20)?,,Compassion,Ill-will,Abuse/violence,,Suffering,Relinquishment,Four Noble Truths,,,,,Ill-will,300T
2,Indirect quote,,,,"For the enlightened person, there's no choice but compassion.|Ajahn Mahā Boowa",,Ajahn Mahā Boowa,Wat Pah Nanachat,Liberation,Compassion,,,,,,,,,
2,,,42:57,,"Please explain upekkha, which is the last of the Brahmavihāras, Ten Perfections, and Seven Factors of Enlightenment. It sounds important.",,Equanimity,,,,,,,,,,,,
2,,,44:55,46:26,Can you please speak about the differences between clear seeing and awareness? Does one precede the other?,,Nature of mind,,,,Mindfulness,,,,,,,,
2,,,46:29,49:59,"I have a friend, a beloved aversive type, who has regular angry outbursts. I chalk it up to frustration, yet find myself floundering in how to respond. Should I try to practice metta and patience, limit my association? Any words would be appreciated.",,Spiritual friendship,Aversion,Goodwill,Patience,,,,,,,,,
2,Extra tags,,,,,,Seclusion,,,,,,,,,,,,
2,,,50:05.5,,What is the correct motivation and expectation for meditation?,,Attitude,Meditation,,,Four Noble Truths,,,,,,,,
3,,,0:08.5,,"I'm feeling spacious in my heart. it is pleasant, and then I get sleepy. Can you advise on how to cultivate interest in spaciousness?",,Spaciousness,Sloth and torpor,,,Perception of light,Mindfulness of breathing,Continuity of mindfulness,,,,,Spaciousness,120
3,,,3:41,,Do you have any ghost story at Wat Pah Nanachat?,,Ghost,Wat Pah Nanachat,,,Funerals,,,,,,,Ghost,200T
3,Story,,,,The mother of a girl killed in an accident dedicates merit with the wish that her daughter be reborn in the family. The girl's ghost haunts Wat Pah Nanachat.,,Ajahn Pasanno,Death,Ghost,Wat Pah Nanachat,Rebirth,Family,Merit,Clinging,,,,,
3,,,8:59,,How do you expand your concentration and awareness beyond the breath when other conditions arise?,,Mindfulness of breathing,Concentration,Mindfulness,,Everyday life,Clear comprehension,Perception of light,,,,,,
3,Quote,,,,"The object of attention needs to be appropriate to the quality of mind. ... As the mind becomes more refined, we need to pay attention to a more refined object.",,Meditation/Techniques,,,,,,,,,,,,
3,,,13:48,,Can you talk about how different hand positions or mudras are used in meditation?,,Mudra,,,,Spiritual traditions,Posture/Sitting,Sloth and torpor,,,,,,
3,,,17:04,22:15,Eight Precepts illuminates the vanity within.' Could you offer some encouragements or reflections on the beauty of the Dhamma as a remedy?,,Eight Precepts,Conceit,Beauty,Dhamma,Recollection/Dhamma,Faith,Learning,Sutta,,,,,
3,Reference,,,,Chanting Book p. 6: Recollection of the Dhamma.,,,,,,,,,,,,,,
3,Story,,,,Ajahn Khao's realization came from reflecting on rice.,,Ajahn Khao,Liberation,Symbolism/metaphor,Recollection/Dhamma,Gratitude,Bodhi Tree,,,,,,,
3,,,22:15,29:44,"Could you review again what the antidotes to the Five Hindrances are? Also, if one has not correctly identified the hindrance at the moment and uses the incorrect remedy, so what?",,Hindrances,Investigation of states,,,Desire,Unattractiveness,Dispassion,Ill-will,Goodwill,,,,
3,Extra tags,,,,,,,,,,Sloth and torpor,Restlessness and worry,Mindfulness of breathing,Doubt,Recollection/Dhamma,,,,
3,Extra tags,,,,,,,,,,Self-reliance,,,,,,,,
3,Sutta,,,,SN 46.51: Starving the hindrances.,,,,,,,,,,,,,,
3,Simile,,,,Throwing dust into the wind (Dhp 125).,,Ill-will,Drawbacks,Similes,,,,,,,,,,
3,Sutta,,,,AN 7.61: Antidotes for sloth and torpor.,,Sloth and torpor,,,,,,,,,,,,
3,,,29:46,31:44.3,"Late night news, sports, and a sleeping pill. Any suggestions how my mind is going to be affected in the long run?",,News,Media,Devotion to wakefulness,,Heedlessness,Self-reliance,,,,,,,
3,,,31:47,34:56.5,What is the difference between abandoning personality view (sakkāya-diṭṭhi) and realizing anatta?,,Self-identity view,Not-self,,,Aggregates,Stream entry,Conceit,Arahant,Cause of Suffering,,,,
3,,,34:56.5,,What is hasituppāda citta---consciousness producing mirth---that is the Buddha's smile?,,Humor,Buddha/Biography,,,Teaching Dhamma,,,,,,,Humor,70
3,Sutta,s,,,MN 81; MN 83; AN 5.180: Examples of the Buddha's smile.,,Humor,,,,,,,,,,,,
3,Sutta,,,,"MN 12.58: ""You might think that the jujube fruit was bigger in those days ...""",,Buddha/Biography,Ascetic practices,Humor,,,,,,,,,,
3,Sutta,,,,SN 17.5: A dung beetle gloats about his pile.,,Gain and loss,Fame and disrepute,Similes,Monastic life,Humor,,,,,,,,
3,,,38:09.5,39:59,"Thank you for teaching that listening to Dhamma is a spiritual practice, not just information download. When you opened your heart to Ajahn Chah, even though you couldn't understand his words, would you say that was a sort of Dhamma transmission directly from one heart to another?",,Hearing the true Dhamma,Ajahn Chah,Ajahn Pasanno,Teaching Dhamma,Buddha,,,,,,,,
3,,,39:59,,"As wild and woolly as some of my experiences have been in the practice, I was wondering if there's a place for wilder-ness along the path? What is crazy wisdom?",,,,,,Unwholesome Roots,Spiritual traditions,Conventions,,,,,,
3,Recollection,,,,Some people thought Ajahn Tongrat was crazy.,,Ajahn Tongrat,,,,,,,,,,,,
3,Reference,,,,"Ajahn Utane's biography of Ajahn Tongrat. Ajahn Mudito translated this into Portuguese in 2019, and there is a [machine translation](https://drive.google.com/file/d/1sljCNyotNKznRnHVjh031b-vpEEe1Vpr/view) from the Portuguese.",,Ajahn Tongrat,Dhamma books,,,,,,,,,,,
3,Story,,,,Ajahn Tongrat dies on the Dhamma seat.,,Ajahn Tongrat,Death,Teaching Dhamma,,,,,,,,,,
3,,,43:14,,Does the remembrance of mindfulness have to do with our kamma?,,Mindfulness,Memory,Kamma,,,,,,,,,,
3,,,43:33.5,,"I've been experiencing and witnessing an incredible sadness. At times it is dormant; at times it seems all-consuming. I've done okay at staying present, questioning its nature, its benefits, its hindrances, its source. I haven't come up with a specific cause for this grief/sorrow. Do you have any suggestions for furthering my investigation working with sadness, and how I might someday send it on its way?",,Grief,Aspects of Understanding,Cause of Suffering,Discernment,Self-identity view,Suffering,Clinging,Goodwill,Divine Abidings,,,Cause of Suffering,250
3,Extra tags,,,,,,,,,,Middle Path,,,,,,,,
3,Quote,,,,"Viewed from any sane perspective, the human condition is pretty sad.",,Human,Grief,,,,,,,,,,,
3,,,48:34.5,,"I remember reading that Ajahn Chah used to ask monastics to meditate in a charnel ground to alleviate lust. With no charnel ground at my disposal, how to work with this strong sensual desire in meditation?",,Sensual desire,Ajahn Chah,Recollection/Death,,Unattractiveness,Body/form,,,,,,Sensual desire,90
3,,,49:56,52:44.5,What kind of suffering does a non-returner experience? What makes a non-returner become an arahant?,,Non-return,Suffering,Arahant,,Conceit,Fetters,Craving for material existence,Craving for immaterial existence,Restlessness and worry,,,Non-return,150T
