Modified:,2025,,,,,,,,
Full Name,Alphabetize,Alphabetize2,Sort by,Exact date,Known month,Known year,Estimated year,Tweak,Duplicate
Ajahn Gunha Sukhagāmo,,,1970.18,,,,1970,,
Ajahn Bunjong,,,1970.039,8 Feb 1970,,,,,
Ajahn Mahā In,,,1966.18,,,1966,,,
Ajahn Somboon Cittapañño,,,1971.092,2 Apr 1971,,,1972,,
Ajahn Boon Choo Ṭhitaguṇo,,,1962.135,15 May 1962,,,,,
Ajahn Anando,,,1974.153,2 June 1974,,,1974,,
Ajahn Puriso,,,1975.18,,,1975,,,
,,,,,,,,,
,,,,,,,,,
Ajahn Preecha Jutindharo,,,1987.18,,,,1987,,
,,,,,,,,,
Ajahn Gi Dhammuttamo,,,1947.18,,,,1947,,
Ajahn Jia Cundo,,,1937.192,11 July 1937,,,,,
Ajahn Sanong Katapuñño,,,1964.12,29 Apr 1964,,,,,
Ajahn Chorp Ṭhānasamo,,,1924.081,21 Mar 1924,,,,,
Ajahn Teean Cittasubho,,,1960.034,3 Feb 1960,,,,,
Ajahn Waen Suciṇṇo,,,1907.18,,,1907,,,
Ajahn Puth Thaniyo,,,1941.18,,,1941,,,
,,,,,,,,,
Ajahn Suwat Suvaco,,,1939.18,,,1939,1939,,
Ajahn Khantipālo,,,1961.18,,,1961,,,
Ajahn Wanchai Vicitto,,,1969.18,,,,1969,,
Ajahn Piyadhammo,,,1995.35,,Dec. 1995,,,,
Ajahn Fuang Jotiko,,,1935.18,,,1935,1935,,
Mae Chee Kaew,,,1938.197,,July 1938,,,,
,,,,,,,,,
Tan Chao Khun Upāli Guṇūpamājahn,,,1876.18,,,,1876,,
Chao Khun Nor,,,1925.082,23 March 1925,,,,,
Tan Chao Khun Prayoon Dhammacitto,,,1975.18,,,,1975,,
Ajahn Mahā Prasert,,,1970.18,,,,1970,,
,,,,,,,,,
Mahasi Sayadaw,,,1924.18,,,,1924,,
Pa Auk Sayadaw,,,1954.18,,,1954,,,
Preah Mahāghosānanda,,,1933.18,,,,1933,,
Bhante Gunaratana,,,1947.18,,,1947,,,
Bhikkhu Bodhi,,,1973.18,,,1973,,,
Venerable Analayo,,,2007.18,,,2007,,,
Ayya Tathālokā,,,1997.18,,,1997,,,
Dr. Hammalawa Saddhatissa,"Saddhatissa, Dr. Hammalawa ",,1934.18,,,,1934,,
Bhante Dharmawara,,,1935.18,,,,1935,,
Bhante Yogavacara Rahula,,,1975.18,,,1975,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dōgen,,,1220.18,,,,1220,,
Harata Rōshi,,,1962.18,,,1962,,,
,,,,,,,,,
Master Hsu Yun,,,1860.18,,,,1860,,
Master Hsuan Hua,,,1947.18,,,1947,,,
,,,,,,,,,
Reverend Heng Sure,,,1976.18,,,1976,,,
Bhikshu Heng Lyu,,,1991.197,,July 1991,,,,
Bhikshu Heng Shun,,,1976.18,,,1976,,,
The Dalai Lama,,,1955.18,,,,1955,,
Trulshik Rinpoche,,,1943.18,,,,1943,,
Pabongka Rinpoche,,,1898.18,,,,1898,,
Lama Zopa Rinpoche,,,1966.18,,,,1966,,
Thubten Chodron,,,1986.18,,,1986,,,
Master Xuanzang,,,622.18,,,622,,,
Taungpulu Sayadaw,,,1917.18,,,,1917,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Upasikā Kee Nanayon,"Kee Nanayon, Upasikā",,1901.18,,,1901,,,
I. B. Horner,"Horner, I. B.",,1896.18,,,1896,,,
Debbie Stamp,"Stamp, Debbie",,1955.18,,,,1955,,
Beth Steff,"Steff, Beth",,,,,,,,
Jack Kornfield,"Kornfield, Jack",,1945.197,16 July 1945,,,,,
Jeed Chaiboonruang,"Chaiboonruang, Jeed",,,,,,,,
Rik Center,"Center, Rik",,,,,,,,
Jeanne Daskais,"Daskais, Jeanne",,,,,,,,
Manijeh Motaghy,"Motaghy, Manijeh",,,,,,,,
George Sharp,"Sharp, George",,1933.18,,,,1933,,
Gail Kappel,"Kappel, Gail",,,,,,,,
S. N. Goenka,"Goenka, S. N.",,1924.03,30 January 1924,,,,,
Ram Dass,,,1931.096,6 April 1931,,,,,
Maurice Walsh,"Walsh, Maurice",,1911.18,,,1911,,,
Paul Breiter,"Breiter, Paul",,1948.18,,,1948,,,
Joseph Kappel,"Kappel, Joseph",,1948.18,,,,1948,,
Nick Scott,"Scott, Nick",,1950.18,,,,1950,,
Larry Rosenberg,"Rosenberg, Larry",,1932.35,15 Dec 1932,,,,,
Rodney Smith,"Smith, Rodney",,1947.18,,,,1947,,
Joseph Goldstein,"Goldstein, Joseph",,1944.141,20 May 1944,,,,,
Stephen Levine,"Levine, Stephen",,1937.198,17 July 1937,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Mahatma Gandhi,"Gandhi, Mahatma",,1869.18,,,1869,,,
Krishnamurti,,,1895.36,11 May 1895,,,,,
Dipa Ma,,,1911.084,25 March 1911,,,,,
Ruth Denison,"Denison, Ruth",,1956.184,2 July 1956,,,,,
