Modified:,2025,,,,,,,,,,,
Key,Value,,,,,,,,,,,
Title,Readings from <i>The Island</i>,,,,,,,,,,,
Subtitle,Winter Retreat 2025 at Amaravati,,,,,,,,,,,
Code,WR2025,,,,,,,,,,,
Series,Winter Retreats,,,,,,,,,,,
Venue,Amaravati Buddhist Monastery,,,,,,,,,,,
Teachers,AP;AA,,,,,,,,,,,
Start date,05/01/2025,,,,,,,,,,,
End date,07/02/2025,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,
Tags,Nibbāna,,,,,,,,,,,
Website,https://amaravati.org/dhamma-audio-library/?wpv-category=audio&wpv-fpmtp_series=the-island-2025&wpv_aux_current_post_id=29850&wpv_aux_parent_post_id=29850&wpv_view_count=29392,,,,,,,,,,,
Description,"Ajahn Pasanno stayed at Amaravati Monastery during much of 2025 to assist during Ajahn Amaro's sabbatical year. Before the sabbatical began, they took turns reading from [_The Island_](The Island p. 1), which they co-authored in 2009. ",,,,,,,,,,,
Sessions,47,,,,,,,,,,,
Excerpts,0,,,,,,,,,,,
Tags applied,1084,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,
Duration,36:38:44,,,,,,,,,,,
<---->,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds
16,01/02/2025,16_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_2.mp3,45:32,AA,To Be or Not to Be: Is That the Question? – Part 2,https://cdn.amaravati.org/wp-content/uploads/2025/04/29/16_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_2.mp3,,,,,,2732
17,02/02/2025,17_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_3.mp3,45:56,AA,To Be or Not to Be: Is That the Question? – Part 3,https://cdn.amaravati.org/wp-content/uploads/2025/04/29/17_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_3.mp3,,,,,,2756
18,03/02/2025,18_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_4.mp3,45:54,AA,To Be or Not to Be: Is That the Question? – Part 4,https://cdn.amaravati.org/wp-content/uploads/2025/04/29/18_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_4.mp3,,,,,,2754
19,04/02/2025,19_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_5.mp3,50:01,AA,To Be or Not to Be: Is That the Question? – Part 5,https://cdn.amaravati.org/wp-content/uploads/2025/04/29/19_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_5.mp3,,,,,,3001
20,07/02/2025,20_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_6.mp3,46:14,AA,To Be or Not to Be: Is That the Question? – Part 6,https://cdn.amaravati.org/wp-content/uploads/2025/04/29/20_-_Chapter_5_-__To_Be__or_Not_to_Be__Is_That_the_Question_part_6.mp3,,,,,,2774
21,08/02/2025,2025_0208.mp3,47:44,AP,Ajahn Pasanno's Preface,,,,,,,2864
22,09/02/2025,2025_0209.mp3,38:37,AP,Practices and Perspectives I – Part 1,,,,,,,2317
23,10/02/2025,2025_0210.mp3,46:23,AP,Practices and Perspectives I – Part 2,,,,,,,2783
24,11/02/2025,2025_0211.mp3,44:45,AP,Practices and Perspectives I – Part 3,,,,,,,2685
25,14/02/2025,2025_0214.mp3,43:00,AP,Practices and Perspectives I – Part 4,,,,,,,2580
