Total,,,383,2962,2465,16987,0,266:34:48,,
Event Code,Start date,Teachers,Sessions,Excerpts,Answers listened to,Tags applied,Invalid tags,Duration,Seconds,SortBy
Nanachat2025,02/01/2025,AP,1,13,13,122,0,58:29,3509,02/01/2025
WR2025,05/01/2025,AP;AA,48,0,0,1610,0,35:42:43,128563,05/01/2025
ChahQA2025,17/06/2025,AP,2,26,26,230,0,2:46:57,10017,17/06/2025
Sunday2025-1,27/07/2025,AP,1,23,23,157,0,1:39:49,5989,27/07/2025
Sunday2025-2,24/08/2025,AP,1,15,15,75,0,1:28:43,5323,24/08/2025
Chithurst2025,30/08/2025,AP,1,12,12,107,0,53:36,3216,30/08/2025
Chithurst2025-2,11/10/2025,AP,2,4,4,13,0,1:34:57,5697,11/10/2025
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
<---->,,,,,,,,,,
"The information below should auto-update and not need user attention. See DownloadCSV.py for details. However, it seems that one must create a new trigger (from Spreadheet - On change; flagSheetUpdate()) each time the spreadsheet is duplicated.",,,,,,,,,,
Hash of sheet names:,1966950994,Spreadsheet:,AP QS Archive 6.4,,,,,,,
Sheet,gid,Modified,,,,,,,,
_Copyright,1779066455,,,,,,,,,
Summary,2007732801,,,,,,,,,
Test1999,488660300,08/11/2025 12:22:15,,,,,,,,
Chah2001,1883027872,08/11/2025 12:22:14,,,,,,,,
Chah2001x,1769727500,08/11/2025 12:22:12,,,,,,,,
WR2005-1,1479500407,08/11/2025 12:22:11,,,,,,,,
WR2005-1x,917320766,08/11/2025 12:22:15,,,,,,,,
Metta2008,975147409,08/11/2025 12:22:13,,,,,,,,
SRD2010,808937139,08/11/2025 12:22:12,,,,,,,,
SRD2011,744369755,08/11/2025 12:22:14,,,,,,,,
UD2012-3,63977239,08/11/2025 12:22:16,,,,,,,,
UD2012-4,1620958366,08/11/2025 12:22:14,,,,,,,,
UD2013-1,571448336,08/11/2025 12:22:14,,,,,,,,
SRD2013,1607436706,08/11/2025 12:22:14,,,,,,,,
UD2013-3,147851389,08/11/2025 12:22:14,,,,,,,,
TG2013,911996922,08/11/2025 12:22:14,,,,,,,,
BIA2013,1010081616,08/11/2025 12:22:16,,,,,,,,
WR2014,1289172807,08/11/2025 12:22:11,,,,,,,,
WR2014x,965350920,08/11/2025 12:22:12,,,,,,,,
UD2014-1,2020873657,08/11/2025 12:22:14,,,,,,,,
UD2014-2,355544122,08/11/2025 12:22:13,,,,,,,,
UD2014-3,213487926,08/11/2025 12:22:13,,,,,,,,
DRBU2014,1299723841,08/11/2025 12:22:16,,,,,,,,
TG2014,180437224,08/11/2025 12:22:15,,,,,,,,
WR2015,1588732464,08/11/2025 12:22:16,,,,,,,,
WR2015x,468245343,08/11/2025 12:22:12,,,,,,,,
UD2015-1,1529940502,08/11/2025 12:22:14,,,,,,,,
UD2015-3,779089544,08/11/2025 12:22:15,,,,,,,,
UD2015-2,1591998665,08/11/2025 12:22:13,,,,,,,,
SRD2015,451643413,08/11/2025 12:22:12,,,,,,,,
UD2015-4,289709354,08/11/2025 12:22:13,,,,,,,,
TG2015,512515308,08/11/2025 12:22:14,,,,,,,,
WR2016,311627132,08/11/2025 12:22:15,,,,,,,,
WR2016x,226295543,08/11/2025 12:22:13,,,,,,,,
Anniversary2016,2016757959,08/11/2025 12:22:16,,,,,,,,
UD2016-2,651162212,08/11/2025 12:22:13,,,,,,,,
TG2016,1466522497,08/11/2025 13:07:10,,,,,,,,
UD2017-2,1794287892,08/11/2025 12:22:13,,,,,,,,
UD2017-3,1132621741,08/11/2025 12:22:15,,,,,,,,
Teen2017,1352445190,08/11/2025 12:22:15,,,,,,,,
UD2017-4,650415914,08/11/2025 12:22:16,,,,,,,,
WR2018-2,110242772,08/11/2025 12:22:12,,,,,,,,
UD2018-1,1817543918,08/11/2025 12:22:16,,,,,,,,
UD2018-2,697378444,08/11/2025 12:22:12,,,,,,,,
Path2019,1852126934,08/11/2025 12:22:15,,,,,,,,
UD2019-4,104533236,08/11/2025 12:22:12,,,,,,,,
UD2019-5,1595604798,08/11/2025 12:22:13,,,,,,,,
Stanford2020,2101836351,08/11/2025 12:22:12,,,,,,,,
UD2020,388516509,08/11/2025 12:22:16,,,,,,,,
Awaken2021,827415330,08/11/2025 12:22:16,,,,,,,,
UD2021-1,940315557,08/11/2025 12:22:12,,,,,,,,
MValley2021,834051077,08/11/2025 12:22:11,,,,,,,,
Anniversary2021,22918730,08/11/2025 12:22:14,,,,,,,,
Kathina2021,1905679270,08/11/2025 12:22:16,,,,,,,,
Podcast2023,1066095092,08/11/2025 12:22:11,,,,,,,,
Sudhana2023,1301620578,08/11/2025 12:22:16,,,,,,,,
SRD2023,124209534,08/11/2025 12:22:13,,,,,,,,
PSD2023,1949758818,08/11/2025 12:22:15,,,,,,,,
Madison2023,1581760720,08/11/2025 12:22:14,,,,,,,,
Rishikesh2023,1663670782,08/11/2025 12:22:14,,,,,,,,
Anniversary2024,735801170,08/11/2025 12:22:12,,,,,,,,
BuddhaDhamma2024,1673042552,08/11/2025 12:22:15,,,,,,,,
SRD2024,1332546740,08/11/2025 12:22:16,,,,,,,,
Appamada2024,524125198,08/11/2025 12:22:13,,,,,,,,
Nanachat2025,654155082,08/11/2025 12:22:16,,,,,,,,
WR2025,1434620776,08/11/2025 12:22:15,,,,,,,,
WR2025x,1471774825,08/11/2025 13:20:51,,,,,,,,
ChahQA2025,288462518,08/11/2025 12:22:15,,,,,,,,
Sunday2025-1,377430015,08/11/2025 12:22:15,,,,,,,,
Sunday2025-2,1679815047,08/11/2025 12:22:13,,,,,,,,
Chithurst2025,1391031255,08/11/2025 12:22:15,,,,,,,,
Chithurst2025-2,576292219,08/11/2025 13:25:41,,,,,,,,
_EventTemplate,704945713,08/11/2025 12:22:15,,,,,,,,
_NewTags,74228458,,,,,,,,,
Tag,1996513816,08/11/2025 12:43:15,,,,,,,,
Kind,1933558345,08/11/2025 12:22:14,,,,,,,,
ReviewedTag,1290695610,08/11/2025 12:22:11,,,,,,,,
TagNote,1675941893,08/11/2025 12:22:16,,,,,,,,
