Modified:,2025,,,,,,,,,,,
Key,Value,,,,,,,,,,,
Title,The Fourth Foundation of Mindfulness,,,,,,,,,,,
Subtitle,Abhayagiri Winter Retreat 2013,,,,,,,,,,,
Code,WR2013,,,,,,,,,,,
Series,Winter Retreats,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,
Teachers,AP;AKd;AJoti,,,,,,,,,,,
Start date,05/01/2016,,,,,,,,,,,
End date,29/03/2016,,,,,,,,,,,
Format,Multiday event,,,,,,,,,,,
Medium,In-person,,,,,,,,,,,
Tags,Mindfulness of dhammas,,,,,,,,,,,
Website,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Index.html,,,,,,,,,,,
Description,"Mindfulness of dhammas as described in the Satipaṭṭhāna Sutta (MN 10) encompases the [Five Hindrances](tag:Hindrances), [Five Aggregates](tag:Aggregates), [Six Sense Bases](tag:Six Sense Bases), [Seven Factors of Awakening](tag:Factors of Awakening) and the [Noble Eightfold Path](tag:Eightfold Path). Ajahn Pasanno, Ajahn Karuṇadhammo, and Ajahn Jotipālo take turns reading suttas and teachings about these subjects.",,,,,,,,,,,
Sessions,55,,,,,,,,,,,
Excerpts,3,,,,,,,,,,,
Tags applied,85,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,
Duration,1:24:38,,,,,,,,,,,
<---->,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds
1,07/01/2013,AP_01_07_2013_Winter_Retreat_Establishing_Mindfulness.mp3,23:23,AP,Establishing Mindfulness,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_07_2013_Winter_Retreat_Establishing_Mindfulness.mp3,1,,,,,1403
2,09/01/2013,AP_01_09_2013_Winter_Retreat_The_Five_Hindrances.mp3,32:45,AP,The Five Hindrances,https://www.abhayagiri.org/media/discs/APasannoRetreats/2013%20Fourth%20Foundation%20of%20Mindfulness/Audio/AP_01_09_2013_Winter_Retreat_The_Five_Hindrances.mp3,1,,,,,1965
