Modified:,2026,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,
Title,Right Speech and Living with Ourselves,,,,,,,,,,,,,,,,,,
Subtitle,"From the Mind to the Mouth, What Happens?",,,,,,,,,,,,,,,,,,
Code,UD2016-4,,,,,,,,,,,,,,,,,,
Series,Upāsika Days,,,,,,,,,,,,,,,,,,
Venue,Abhayagiri Buddhist Monastery,,,,,,,,,,,,,,,,,,
Teachers,AP;AJoti,,,,,,,,,,,,,,,,,,
Start date,08/10/2016,,,,,,,,,,,,,,,,,,
End date,,,,,,,,,,,,,,,,,,,
Format,Daylong event,,,,,,,,,,,,,,,,,,
Medium,Hybrid,,,,,,,,,,,,,,,,,,
Tags,Right Speech,,,,,,,,,,,,,,,,,,
Website,https://www.youtube.com/watch?v=vs6A1aniHbc,,,,,,,,,,,,,,,,,,
Description,Ajahn Pasanno and Ajahn Jotipālo lead teachings and discussion on how speech that contributes to harmony with others and happiness with ourselves begins with attention to and cultivation of internal mental processes.,,,,,,,,,,,,,,,,,,
Sessions,4,,,,,,,,,,,,,,,,,,
Excerpts,43,,,,,,,,,,,,,,,,,,
Tags applied,180,,,,,,,,,,,,,,,,,,
Invalid tags,0,,,,,,,,,,,,,,,,,,
Duration,12:56:48,,,,,,,,,,,,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Date,Filename,Duration,Teachers,Session title,Remote mp3 URL,Excerpts,Tags,Tags 2,Tags 3,Exclude?,Seconds,,,,,,,
1,08/10/2016,UD2016-4_Right_Speech_and_Living_with_Ourselves.mp3,3:14:12,AP;AJoti,,,17,Right Speech,,,,11652,,,,,,,
2,08/10/2016,UD2016-4_Right_Speech_and_Living_with_Ourselves.mp3,3:14:12,AP,,,7,Proliferation,,,,11652,,,,,,,
3,08/10/2016,UD2016-4_Right_Speech_and_Living_with_Ourselves.mp3,3:14:12,AP,,,9,,,,,11652,,,,,,,
4,08/10/2016,UD2016-4_Right_Speech_and_Living_with_Ourselves.mp3,3:14:12,AP,,,10,,,,,11652,,,,,,,
<---->,,,,,,,,,,,,,,,,,,,
Session #,Kind,Flags,Start time,End time,Text,Teachers,QTag1,QTag2,QTag3,QTag4,ATag1,ATag2,ATag3,ATag4,ATag5,Off topic?,Exclude?,FTags,FTagOrder
1,Reflection,,4:38,8:10.5,Working with internal and external aspects of our speech.,AP,,,,,Conditionality,Mindfulness,Volition,,,,,,
1,Sutta,,,,MN 44.14: The root level of speech is vitakka-vicāra.,,Directed thought and evaluation,,,,,,,,,,,,
1,Cut audio,,4:44,4:53.5,,,,,,,,,,,,,,,
1,Comment,,12:23,14:56,Dr. Saddhatissa's translation of the Sutta Nipāta uses common language.,,Dr. Saddhatissa,Translation,,,,,,,,Yes,,,
1,Story,,,,Ajahn Chah told Ajahn Sumedho to take Dr. Saddhatissa as the Saṅgharāja of England.,AP,Ajahn Chah,Elders' Council,Dr. Saddhatissa,,,,,,,,,,
1,Comment,,34:19,37:25,Discerning what to say based on skillful and unskillful mental qualities (AN 4.183) seems tricky.,AJoti,Skillful qualities,Unskillful qualities,,,,,,,,,,,
1,Cut audio,,34:30,34:36,,,,,,,,,,,,,,,
1,Response,,,,,AP,Skillful qualities,Unskillful qualities,Unwholesome Roots,Suffering,,,,,,,,,
1,Sutta,,,,AN 4.192: Facts.,,,,,,,,,,,,,,
